model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk3,2011,99 028 km,1 600 cm3,34 500,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2011,148 000 km,1 596 cm3,25 999,PLN,K³odzko,Dolnoœl¹skie
Ford Focus Mk3,2011,139 957 km,Benzyna,26 500,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2017,83 100 km,1 596 cm3,41 500,PLN,Szaflary,Ma³opolskie
Ford Focus Mk3,2014,125 000 km,2 000 cm3,29 900,PLN,Gdañsk,Pomorskie
Ford Focus Mk3,2016,114 644 km,1 560 cm3,32 998,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2015,75 410 km,1 499 cm3,42 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2015,94 500 km,1 999 cm3,36 900,PLN,Koby³ka,Mazowieckie
Ford Focus Mk3,2014,82 223 km,998 cm3,37 998,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2013,134 808 km,998 cm3,27 999,PLN,Bielany Wroc³awskie,Dolnoœl¹skie
Ford Focus Mk3,2011,117 170 km,1 596 cm3,29 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,132 000 km,1 600 cm3,29 900,PLN,Gostynin,Mazowieckie
Ford Focus Mk3,2013,85 070 km,1 596 cm3,41 500,PLN,Piaseczno,Mazowieckie
Ford Focus Mk2,2009,144 628 km,1 596 cm3,12 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk2,2009,144 628 km,1 596 cm3,12 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk2,2010,103 236 km,1 596 cm3,21 000,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2012,87 000 km,1 596 cm3,31 500,PLN,Myœlenice,Ma³opolskie
Ford Focus Mk3,2015,78 100 km,1 000 cm3,42 700,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2013,85 070 km,1 596 cm3,41 500,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2015,92 273 km,1 499 cm3,40 998,PLN,Bielany Wroc³awskie,Dolnoœl¹skie
Ford Focus Mk3,2014,110 000 km,1 000 cm3,22 900,PLN,Che³m,Lubelskie
Ford Focus Mk4,2014,93 876 km,1 596 cm3,29 900,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2016,116 000 km,1 998 cm3,33 000,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2012,122 000 km,998 cm3,31 900,PLN,Zduñska Wola,£ódzkie
Ford Focus Mk3,2013,114 214 km,998 cm3,27 000,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2012,126 000 km,1 600 cm3,28 900,PLN,Lisica,Mazowieckie
Ford Focus Mk3,2017,100 000 km,1 600 cm3,14 900,PLN,Tychy,Œl¹skie
Ford Focus Mk3,2012,149 230 km,1 600 cm3,34 999,PLN,Rzgów,£ódzkie
Ford Focus Mk2,2010,121 173 km,1 596 cm3,20 000,PLN,Bielany Wroc³awskie,Dolnoœl¹skie
Ford Focus Mk3,2015,92 273 km,1 499 cm3,40 998,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,114 786 km,1 560 cm3,30 000,PLN,Bielany Wroc³awskie,Dolnoœl¹skie
Ford Focus Mk3,2013,129 040 km,1 600 cm3,31 800,PLN,Myszków,Œl¹skie
Ford Focus Mk3,2014,96 760 km,1 596 cm3,28 000,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2012,88 595 km,998 cm3,25 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk2,2010,129 000 km,1 600 cm3,24 400,PLN,Poœwiêtne,Mazowieckie
Ford Focus Mk3,2016,96 500 km,1 998 cm3,31 900,PLN,Bia³a Podlaska,Lubelskie
Ford Focus Mk3,2017,86 800 km,1 596 cm3,43 100,PLN,Wojkowice,Œl¹skie
Ford Focus Mk3,2012,93 000 km,1 600 cm3,31 800,PLN,Mys³owice,Œl¹skie
Ford Focus Mk3,2011,93 500 km,1 600 cm3,29 900,PLN,Smardy Górne,Opolskie
Ford Focus Mk2,2009,137 000 km,1 400 cm3,16 600,PLN,¯ary,Lubuskie
Ford Focus Mk3,2012,106 000 km,1 596 cm3,29 990,PLN,Mys³owice,Œl¹skie
Ford Focus Mk3,2014,77 535 km,998 cm3,29 900,PLN,Sêdziszów Ma³opolski,Podkarpackie
Ford Focus Mk3,2012,116 496 km,998 cm3,26 900,PLN,Wola Burzecka,Lubelskie
Ford Focus Mk3,2014,87 000 km,999 cm3,42 000,PLN,Legnica,Dolnoœl¹skie
Ford Focus Mk3,2011,77 950 km,1 600 cm3,34 900,PLN,Zabrze,Œl¹skie
Ford Focus Mk3,2012,122 000 km,1 600 cm3,26 900,PLN,Elbl¹g,Warmiñsko-mazurskie
Ford Focus Mk3,2012,145 000 km,1 600 cm3,26 900,PLN,Stary Dzierzgoñ,Pomorskie
Ford Focus Mk3,2015,99 413 km,1 600 cm3,29 899,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2014,75 358 km,999 cm3,34 900,PLN,Bielsko-Bia³a,Œl¹skie
