title,location,time_of_work,type_of_agreement,salary,article_url
kucharz,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,3 500 zł/mies. brutto,https://www.olx.pl/oferta/kucharz-CID4-IDCRj6j.html#97cdd90949;promoted
Praca McDonald’s - Galeriia Bonarka Kraków od 16.10 zł brutt/godz.,12  gru,Niepełny etat,Umowa o pracę,od 14 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/praca-mcdonalds-galeriia-bonarka-krakow-od-16-10-zl-brutt-godz-CID4-IDCxlfO.html#97cdd90949;promoted
Pracownik restauracji McDonalds Opolska,"Kraków, Grzegórzki",Pełny etat,Umowa o pracę,15 zł/godz. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-opolska-CID4-IDCKF6B.html#97cdd90949
Kucharz śniadaniowy do Hotelu Starego 5* Kraków,wczoraj 14:53,Pełny etat,Umowa o pracę,od 15 zł do 19 zł/godz.  brutto,https://www.olx.pl/oferta/kucharz-sniadaniowy-do-hotelu-starego-5-krakow-CID4-IDCQhVl.html#97cdd90949
Przyjmę kelnerke/kelnera,"Kraków, Grzegórzki",Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/przyjme-kelnerke-kelnera-CID4-IDCWq5u.html#97cdd90949
Pomoc kuchenna do Hotelu Starego 5* Kraków / praca stała i dorywcza,16  gru,Niepełny etat,Umowa o pracę,od 14 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-do-hotelu-starego-5-krakow-praca-stala-i-dorywcza-CID4-IDCKqnU.html#97cdd90949
Pracownik Restauracji McCafe,"Kraków, Bieńczyce",Pełny etat,Umowa o pracę,od 3 200 zł do 4 200 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mccafe-CID4-IDCJgb6.html#97cdd90949;promoted
Lider Gościnności,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/lider-goscinnosci-CID4-IDCyvP7.html#97cdd90949;promoted
Pracownik Restauracji McDonald’s - Kraków Mateczny do 3000 brutto/m-c,"Kraków, Podgórze",Pełny etat,Umowa o pracę,od 12 zł do 14 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-krakow-mateczny-do-3000-brutto-m-c-CID4-IDCJgb0.html#97cdd90949;promoted
McDonald’s Pilotów Kraków - Pracownik Restauracj,17  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/mcdonalds-pilotow-krakow-pracownik-restauracj-CID4-IDCQ7jh.html#97cdd90949
Pracownik Kuchni w Restauracji Pizza Hut,"Kraków, Krowodrza",Pełny etat,Umowa o pracę,14 zł/mies. brutto,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-CID4-IDCEfkU.html#97cdd90949
Amerykańska restauracja zatrudni kelnerkę /a.,wczoraj 18:31,Pełny etat,Umowa o pracę,od 3 500 zł do 4 900 zł/mies.  brutto,https://www.olx.pl/oferta/amerykanska-restauracja-zatrudni-kelnerke-a-CID4-IDCWbvO.html#97cdd90949
Deli Sandwich szuka osób z pozytywną energią,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,25 zł/godz. brutto,https://www.olx.pl/oferta/deli-sandwich-szuka-osob-z-pozytywna-energia-CID4-IDCkCOB.html#97cdd90949
"Praca dla barmana, barmanki",wczoraj 18:22,Pełny etat,Umowa o pracę,od 16 zł do 18 zł/godz.  brutto,https://www.olx.pl/oferta/praca-dla-barmana-barmanki-CID4-IDr2bCW.html#97cdd90949
Pracownik Restauracji McDonald’s - Kraków Mateczny do 3000 brutto/m-c,"Kraków, Nowa Huta",Pełny etat,Umowa o pracę,od 16 zł do 19 zł/godz.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-krakow-mateczny-do-3000-brutto-m-c-CID4-IDCW8Vi.html#97cdd90949
Manager Restauracji,wczoraj 16:58,Pełny etat,Umowa o pracę,od 16 zł do 18 zł/godz.  brutto,https://www.olx.pl/oferta/manager-restauracji-CID4-IDCQdAi.html#97cdd90949
"3200 zł + premia, kiosk gastronomiczny, AGH.","Kraków, Stare Miasto",Pełny etat,Umowa o pracę,16 zł/godz. brutto,https://www.olx.pl/oferta/3200-zl-premia-kiosk-gastronomiczny-agh-CID4-IDCW66b.html#97cdd90949
